MERGE_SORT;N=1000000
T0; 7,563473701477051
T1; 7,511096954345703
T2; 7,662600040435791
T3; 8,219947576522827
T4; 10,590180158615112
T5; 8,793940305709839
T6; 8,878915071487427
T7; 9,033548831939697
T8; 8,130943298339844
T9; 8,249338388442993
AVG:  8,463398432731628
RADIX_SORT,N=1000000
T0; 17,03359365463257
T1; 16,73936653137207
T2; 16,067366123199463
T3; 15,92270040512085
T4; 15,670984983444214
T5; 16,077364921569824
T6; 15,382458686828613
T7; 14,873060941696167
T8; 15,817464113235474
T9; 17,933374404907227
AVG;  16,151773476600646
BUCKET_SORT;N=1000000
T0; 5,462161064147949
T1; 4,969335317611694
T2; 5,046180725097656
T3; 4,966675519943237
T4; 5,125033378601074
T5; 4,957242250442505
T6; 4,824631690979004
T7; 4,769105672836304
T8; 4,85856032371521
T9; 4,687098026275635
AVG;  4,966602396965027
